CustomerId,CustomerCompanyName,OrderId
22,Customer DTDMN,NULL
57,Customer WVAXS,NULL
85,Customer ENQZT,10248
79,Customer FAPSM,10249
34,Customer IBVRG,10250
84,Customer NRCSK,10251
76,Customer SFOGW,10252
34,Customer IBVRG,10253
14,Customer WNMAF,10254
68,Customer CCKOT,10255
88,Customer SRQVM,10256
35,Customer UMTLM,10257
20,Customer THHDP,10258
13,Customer VMLOG,10259
56,Customer QNIVZ,10260
61,Customer WULWD,10261
65,Customer NYUHS,10262
20,Customer THHDP,10263
24,Customer CYZTN,10264
7,Customer QXVLA,10265
87,Customer ZHYOS,10266
25,Customer AZJED,10267
33,Customer FVXPQ,10268
89,Customer YBQTI,10269
87,Customer ZHYOS,10270
75,Customer XOJYP,10271
65,Customer NYUHS,10272
63,Customer IRRVL,10273
85,Customer ENQZT,10274
49,Customer CQRAA,10275
80,Customer VONTK,10276
52,Customer PZNLA,10277
5,Customer HGVLZ,10278
44,Customer OXFRU,10279
5,Customer HGVLZ,10280
69,Customer SIUIH,10281
69,Customer SIUIH,10282
46,Customer XPNIK,10283
44,Customer OXFRU,10284
63,Customer IRRVL,10285
63,Customer IRRVL,10286
67,Customer QVEPD,10287
66,Customer LHANT,10288
11,Customer UBHAU,10289
15,Customer JUWXK,10290
61,Customer WULWD,10291
81,Customer YQQWW,10292
80,Customer VONTK,10293
65,Customer NYUHS,10294
85,Customer ENQZT,10295
46,Customer XPNIK,10296
7,Customer QXVLA,10297
37,Customer FRXZL,10298
67,Customer QVEPD,10299
49,Customer CQRAA,10300
86,Customer SNXOJ,10301
76,Customer SFOGW,10302
30,Customer KSLQF,10303
80,Customer VONTK,10304
55,Customer KZQZT,10305
69,Customer SIUIH,10306
48,Customer DVFMB,10307
2,Customer MLTDN,10308
37,Customer FRXZL,10309
77,Customer LCYBZ,10310
18,Customer BSVAR,10311
86,Customer SNXOJ,10312
63,Customer IRRVL,10313
65,Customer NYUHS,10314
38,Customer LJUCA,10315
65,Customer NYUHS,10316
48,Customer DVFMB,10317
38,Customer LJUCA,10318
80,Customer VONTK,10319
87,Customer ZHYOS,10320
38,Customer LJUCA,10321
58,Customer AHXHT,10322
39,Customer GLLAG,10323
71,Customer LCOUJ,10324
39,Customer GLLAG,10325
8,Customer QUHWH,10326
24,Customer CYZTN,10327
28,Customer XYUFB,10328
75,Customer XOJYP,10329
46,Customer XPNIK,10330
9,Customer RTXGC,10331
51,Customer PVDZC,10332
87,Customer ZHYOS,10333
84,Customer NRCSK,10334
37,Customer FRXZL,10335
60,Customer QZURI,10336
25,Customer AZJED,10337
55,Customer KZQZT,10338
51,Customer PVDZC,10339
9,Customer RTXGC,10340
73,Customer JMIKW,10341
25,Customer AZJED,10342
44,Customer OXFRU,10343
89,Customer YBQTI,10344
63,Customer IRRVL,10345
65,Customer NYUHS,10346
21,Customer KIDPX,10347
86,Customer SNXOJ,10348
75,Customer XOJYP,10349
41,Customer XIIWM,10350
20,Customer THHDP,10351
28,Customer XYUFB,10352
59,Customer LOLJO,10353
58,Customer AHXHT,10354
4,Customer HFBZG,10355
86,Customer SNXOJ,10356
46,Customer XPNIK,10357
41,Customer XIIWM,10358
72,Customer AHPOP,10359
7,Customer QXVLA,10360
63,Customer IRRVL,10361
9,Customer RTXGC,10362
17,Customer FEVNN,10363
19,Customer RFNQC,10364
3,Customer KBUDE,10365
29,Customer MDLWA,10366
83,Customer ZRNDE,10367
20,Customer THHDP,10368
75,Customer XOJYP,10369
14,Customer WNMAF,10370
41,Customer XIIWM,10371
62,Customer WFIZJ,10372
37,Customer FRXZL,10373
91,Customer CCFIZ,10374
36,Customer LVJSO,10375
51,Customer PVDZC,10376
72,Customer AHPOP,10377
24,Customer CYZTN,10378
61,Customer WULWD,10379
37,Customer FRXZL,10380
46,Customer XPNIK,10381
20,Customer THHDP,10382
4,Customer HFBZG,10383
5,Customer HGVLZ,10384
75,Customer XOJYP,10385
21,Customer KIDPX,10386
70,Customer TMXGN,10387
72,Customer AHPOP,10388
10,Customer EEALV,10389
20,Customer THHDP,10390
17,Customer FEVNN,10391
59,Customer LOLJO,10392
71,Customer LCOUJ,10393
36,Customer LVJSO,10394
35,Customer UMTLM,10395
25,Customer AZJED,10396
60,Customer QZURI,10397
71,Customer LCOUJ,10398
83,Customer ZRNDE,10399
19,Customer RFNQC,10400
65,Customer NYUHS,10401
20,Customer THHDP,10402
20,Customer THHDP,10403
49,Customer CQRAA,10404
47,Customer PSQUZ,10405
62,Customer WFIZJ,10406
56,Customer QNIVZ,10407
23,Customer WVFAF,10408
54,Customer TDKEG,10409
10,Customer EEALV,10410
10,Customer EEALV,10411
87,Customer ZHYOS,10412
41,Customer XIIWM,10413
21,Customer KIDPX,10414
36,Customer LVJSO,10415
87,Customer ZHYOS,10416
73,Customer JMIKW,10417
63,Customer IRRVL,10418
68,Customer CCKOT,10419
88,Customer SRQVM,10420
61,Customer WULWD,10421
27,Customer WMFEA,10422
31,Customer YJCBX,10423
51,Customer PVDZC,10424
41,Customer XIIWM,10425
29,Customer MDLWA,10426
59,Customer LOLJO,10427
66,Customer LHANT,10428
37,Customer FRXZL,10429
20,Customer THHDP,10430
10,Customer EEALV,10431
75,Customer XOJYP,10432
60,Customer QZURI,10433
24,Customer CYZTN,10434
16,Customer GYBBY,10435
7,Customer QXVLA,10436
87,Customer ZHYOS,10437
79,Customer FAPSM,10438
51,Customer PVDZC,10439
71,Customer LCOUJ,10440
55,Customer KZQZT,10441
20,Customer THHDP,10442
66,Customer LHANT,10443
5,Customer HGVLZ,10444
5,Customer HGVLZ,10445
79,Customer FAPSM,10446
67,Customer QVEPD,10447
64,Customer LWGMD,10448
7,Customer QXVLA,10449
84,Customer NRCSK,10450
63,Customer IRRVL,10451
71,Customer LCOUJ,10452
4,Customer HFBZG,10453
41,Customer XIIWM,10454
87,Customer ZHYOS,10455
39,Customer GLLAG,10456
39,Customer GLLAG,10457
76,Customer SFOGW,10458
84,Customer NRCSK,10459
24,Customer CYZTN,10460
46,Customer XPNIK,10461
16,Customer GYBBY,10462
76,Customer SFOGW,10463
28,Customer XYUFB,10464
83,Customer ZRNDE,10465
15,Customer JUWXK,10466
49,Customer CQRAA,10467
39,Customer GLLAG,10468
89,Customer YBQTI,10469
9,Customer RTXGC,10470
11,Customer UBHAU,10471
72,Customer AHPOP,10472
38,Customer LJUCA,10473
58,Customer AHXHT,10474
76,Customer SFOGW,10475
35,Customer UMTLM,10476
60,Customer QZURI,10477
84,Customer NRCSK,10478
65,Customer NYUHS,10479
23,Customer WVFAF,10480
67,Customer QVEPD,10481
43,Customer UISOJ,10482
89,Customer YBQTI,10483
11,Customer UBHAU,10484
47,Customer PSQUZ,10485
35,Customer UMTLM,10486
62,Customer WFIZJ,10487
25,Customer AZJED,10488
59,Customer LOLJO,10489
35,Customer UMTLM,10490
28,Customer XYUFB,10491
10,Customer EEALV,10492
41,Customer XIIWM,10493
15,Customer JUWXK,10494
42,Customer IAIJK,10495
81,Customer YQQWW,10496
44,Customer OXFRU,10497
35,Customer UMTLM,10498
46,Customer XPNIK,10499
41,Customer XIIWM,10500
6,Customer XHXJV,10501
58,Customer AHXHT,10502
37,Customer FRXZL,10503
89,Customer YBQTI,10504
51,Customer PVDZC,10505
39,Customer GLLAG,10506
3,Customer KBUDE,10507
56,Customer QNIVZ,10508
6,Customer XHXJV,10509
71,Customer LCOUJ,10510
9,Customer RTXGC,10511
21,Customer KIDPX,10512
86,Customer SNXOJ,10513
20,Customer THHDP,10514
63,Customer IRRVL,10515
37,Customer FRXZL,10516
53,Customer GCJSG,10517
80,Customer VONTK,10518
14,Customer WNMAF,10519
70,Customer TMXGN,10520
12,Customer PSNMQ,10521
44,Customer OXFRU,10522
72,Customer AHPOP,10523
5,Customer HGVLZ,10524
9,Customer RTXGC,10525
87,Customer ZHYOS,10526
63,Customer IRRVL,10527
32,Customer YSIQX,10528
50,Customer JYPSC,10529
59,Customer LOLJO,10530
54,Customer TDKEG,10531
19,Customer RFNQC,10532
24,Customer CYZTN,10533
44,Customer OXFRU,10534
3,Customer KBUDE,10535
44,Customer OXFRU,10536
68,Customer CCKOT,10537
